company_id,company_name,operating_activity,financing_activity,net_cash_flow
AXISBANK,Axis Bank Ltd,-5555.0,22341.0,7785.0
BAJAJFINSV,Bajaj Finserv Ltd,-68674.0,82709.0,3075.0
BAJFINANCE,Bajaj Finance Ltd,-72760.0,82415.0,2484.0
BANKBARODA,Bank of Baroda,-6274.0,5476.0,-2084.0
BHEL,"Bharat Heavy Electricals Limited
",-3713.0,2656.0,274.0
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,-35683.0,38471.0,-66.0
GRASIM,Grasim Industries Ltd,-10719.0,33908.0,75.0
M&M,"Mahindra & Mahindra Ltd
",-5630.0,12281.0,1037.0
PFC,Power Finance Corporation Ltd,-97820.0,101261.0,32.0
PNB,Punjab National Bank,-27939.0,3518.0,-25928.0
RECLTD,REC Ltd,-57723.0,59588.0,34.0
SHRIRAMFIN,"Shriram Finance Ltd
",-31101.0,27609.0,-3750.0
TVSMOTOR,TVS Motor Company Ltd,-1253.0,2759.0,505.0
